ticker,quarter,date,mean_positive,mean_neutral,mean_negative,std_positive,std_neutral,std_negative,polarity_score,polarity_std,max_positive,min_negative,num_paragraphs
AMZN,Q1,2020-01-30,0.1216598590737895,0.815736786001607,0.06260335283648026,0.18216092489991545,0.20163335184403758,0.1105133528654287,0.05905650623730923,0.22390980723761225,0.9323642253875732,0.011023576371371746,95
AMZN,Q2,2016-04-28,0.16071071353304636,0.7946987218790121,0.04459056783780143,0.22090049743554202,0.2214971426797289,0.07014566798848765,0.11612014569524494,0.2416069227045373,0.9340078234672546,0.008733488619327545,143
AMZN,Q4,2019-10-24,0.1318918246904324,0.8191005114423132,0.04900765934980464,0.1855352887280368,0.1955478081653302,0.07333455412799729,0.08288416534062774,0.20338057191654205,0.9196974039077759,0.007943334057927132,87
AMZN,Q2,2020-04-30,0.10941310909887154,0.8226691669887967,0.06791771693776051,0.15010341881787412,0.16499402471242092,0.09055444398877599,0.04149539216111104,0.18503852971291726,0.6956179141998291,0.009556233882904053,45
AMZN,Q2,2019-04-25,0.12083513728312907,0.8199921859207974,0.059172673241025014,0.14722197578937993,0.16635171790980177,0.10072375708545579,0.061662464042104057,0.18964776847762466,0.756989598274231,0.009119143709540367,93
AMZN,Q3,2017-07-27,0.13455505067504,0.8035868890155321,0.0618580647626485,0.18474305527177445,0.21193477009938524,0.1278160256393994,0.07269698591239152,0.2366802061567331,0.890052318572998,0.011500022374093533,87
AMZN,Q3,2018-07-26,0.1371074699718191,0.812194861516536,0.05069766654801297,0.20012046910332948,0.20229310127187528,0.06951551038215611,0.08640980342380612,0.2209948323361009,0.9244354367256165,0.00965768564492464,83
AMZN,Q4,2018-10-25,0.11501846779329875,0.8260406688547012,0.05894086388967086,0.1514833828993028,0.181278786322495,0.10312812004616537,0.056077603903627884,0.18521137250969952,0.8619187474250793,0.01050175167620182,97
AMZN,Q1,2016-01-28,0.15364390399513972,0.801138502534157,0.045217592343917964,0.20705626770250202,0.2255622483595191,0.09868663174574926,0.10842631165122177,0.23311879093827012,0.9341498613357544,0.009977753274142742,162
AMZN,Q1,2018-02-01,0.1385184325850927,0.8070685599858944,0.05441300331993581,0.20298695328797386,0.2186629040497393,0.10431106490234043,0.08410542926515688,0.23739321188413348,0.9091000556945801,0.006836127955466509,91
AMZN,Q3,2020-07-30,0.13387971498856419,0.8068543908823478,0.05926589363891827,0.17364539973523077,0.19949350857924608,0.09135998874296618,0.07461382134964592,0.1928758320261704,0.9358065128326416,0.01095427293330431,76
AMZN,Q3,2019-07-25,0.1360945048208317,0.8108108154173648,0.05309467360879598,0.20195822202153949,0.20811429246313445,0.09221646771811617,0.08299983121203573,0.235096667350045,0.9439480900764465,0.008546430617570877,89
AMZN,Q2,2017-04-27,0.13625236984704975,0.8122941851615906,0.05145345109028626,0.1846714810590646,0.19635017207486485,0.09476453679739659,0.08479891875676349,0.21820714313423664,0.8821542859077454,0.007885461673140526,113
AMZN,Q1,2019-01-31,0.15588855043585811,0.7822745037220773,0.061836941509197156,0.22406980113478014,0.24626690199167553,0.12781990467994425,0.09405160892666095,0.2691524110343948,0.903139591217041,0.007588581647723913,105
AMZN,Q2,2018-04-26,0.1244856206846706,0.8299764436198754,0.045537941293853725,0.18983132191185487,0.19394703917351144,0.06579231106065103,0.07894767939081687,0.2076382966631165,0.9393982887268066,0.009277956560254097,89
AMZN,Q4,2016-10-27,0.16084752292854004,0.7574351531421316,0.08171732097478776,0.19447633181894383,0.23813222688925026,0.18916921101120285,0.07913020195375228,0.30084066943572363,0.7737120985984802,0.008730870671570301,58
AMZN,Q1,2017-02-02,0.14764068882380213,0.8077453308871814,0.04461397646615903,0.19988243658707291,0.1983791572297599,0.06488733338868832,0.1030267123576431,0.2212971285534506,0.8810162544250488,0.008256189525127411,105
AMZN,Q3,2016-07-28,0.19156589979926744,0.7664596816875796,0.04197441574618004,0.230531556155739,0.22826191420899075,0.07655478940124472,0.14959148405308742,0.2567243036239633,0.9489232897758484,0.007718185894191265,69
AMZN,Q4,2017-10-26,0.12637475304453089,0.8267645869072121,0.04686065430356429,0.16529529475041643,0.168894796307985,0.07248362610355444,0.0795140987409666,0.19138278700440794,0.9038097262382507,0.009072605520486832,101
AAPL,Q2,2018-05-01,0.1521294766456866,0.7669490767245899,0.0809214465991884,0.2018660711092114,0.2278546202428974,0.14898537354939986,0.07120803004649819,0.27198414578098434,0.9558380842208862,0.01115817204117775,61
AAPL,Q4,2019-10-30,0.130926606218213,0.8099066711311201,0.05916672683709744,0.16534099198640348,0.20201007597819526,0.11220482499251012,0.07175987938111558,0.1976032922154251,0.8929081559181213,0.008583824150264263,103
AAPL,Q1,2016-01-26,0.13458585326603595,0.7861238849043046,0.07929025292271535,0.18785472136030973,0.23297471305474504,0.17230368484388162,0.055295600343320594,0.27509761372889635,0.9425557851791382,0.01004890725016594,149
AAPL,Q3,2020-07-30,0.11635743446000245,0.8319925651278185,0.05164999752912832,0.14936465634089002,0.15949986263978705,0.08408044396503583,0.06470743693087412,0.1825333886583978,0.9174128174781799,0.009468711912631989,115
AAPL,Q3,2017-08-01,0.1396653858310246,0.7995138166083412,0.06082079810305284,0.21542156883057006,0.225141882591409,0.10072953221606779,0.07884458772797179,0.24983378253456903,0.9464545845985413,0.010529925115406513,91
AAPL,Q1,2020-01-28,0.20219039073900172,0.7282876255676934,0.06952198765142575,0.26571154746420333,0.2782584424213196,0.13842592744910304,0.13266840308757596,0.3195324235738599,0.9509741067886353,0.008749496191740036,76
